Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,37.080002,37.090000,36.389999,36.869999,36.448711,19795200
2018-03-07,36.820000,36.820000,36.029999,36.119999,35.707279,25136500
2018-03-08,36.369999,37.009998,36.110001,36.880001,36.458599,23111100
2018-03-09,37.000000,37.139999,36.500000,37.130001,36.705738,23737400
2018-03-12,37.090000,37.220001,36.869999,36.959999,36.537682,17947700
2018-03-13,36.990002,37.110001,36.220001,36.430000,36.013737,20580700
2018-03-14,36.450001,36.549999,35.959999,36.020000,35.608425,26107400
2018-03-15,36.000000,36.310001,35.900002,36.150002,35.736938,22205500
2018-03-16,36.290001,36.619999,35.779999,35.830002,35.420597,46607100
2018-03-19,35.599998,35.869999,34.880001,35.299999,34.896652,34417400
2018-03-20,35.360001,35.500000,34.549999,34.570000,34.174992,20893700
2018-03-21,34.549999,35.150002,34.450001,34.490002,34.095905,21541700
2018-03-22,34.169998,34.230000,33.209999,33.230000,32.850300,53922000
2018-03-23,33.650002,33.730000,33.150002,33.169998,32.790985,43863100
2018-03-26,33.750000,33.790001,32.740002,33.540001,33.156761,32248200
2018-03-27,33.650002,33.880001,32.750000,32.990002,32.613049,31011300
2018-03-28,33.200001,33.849998,33.139999,33.279999,32.899731,32906700
2018-03-29,33.459999,34.520000,33.330002,34.169998,33.779560,32542600
2018-04-02,34.090000,34.299999,33.259998,33.520000,33.136990,35584000
2018-04-03,33.419998,33.549999,32.919998,33.470001,33.276180,29274500
2018-04-04,33.150002,34.410000,33.049999,34.310001,34.111317,26401000
2018-04-05,34.570000,34.810001,34.349998,34.599998,34.399635,23737400
2018-04-06,34.250000,34.529999,33.869999,34.119999,33.922413,33780800
2018-04-09,34.389999,34.560001,33.919998,33.950001,33.753399,17554700
2018-04-10,34.230000,34.400002,33.540001,33.860001,33.663921,30537700
2018-04-11,33.590000,34.070000,33.540001,33.560001,33.365658,21874300
2018-04-12,33.770000,33.889999,32.900002,33.130001,32.938148,29449600
2018-04-13,33.240002,33.450001,32.869999,33.020000,32.828785,24725500
2018-04-16,33.340000,33.740002,32.980000,33.529999,33.335831,15267200
2018-04-17,33.750000,33.849998,33.049999,33.270000,33.077339,33371300
2018-04-18,33.320000,33.549999,33.189999,33.270000,33.077339,23564000
2018-04-19,33.259998,33.759998,33.070000,33.480000,33.286121,21006800
2018-04-20,33.549999,33.799999,33.099998,33.209999,33.017685,25272500
2018-04-23,33.240002,33.919998,33.169998,33.869999,33.673862,20953200
2018-04-24,34.090000,34.290001,33.189999,33.349998,33.156872,28917300
2018-04-25,33.180000,34.779999,33.049999,34.259998,34.061604,39731600
2018-04-26,34.310001,34.480000,33.020000,33.330002,33.136990,32554700
2018-04-27,33.070000,33.110001,31.799999,31.809999,31.625792,51653800
2018-04-30,31.910000,32.240002,31.340000,31.389999,31.208223,38337600
2018-05-01,31.379999,32.099998,31.209999,32.060001,31.874346,25115000
2018-05-02,31.990000,32.000000,31.180000,31.299999,31.118744,19864100
2018-05-03,31.150000,31.260000,30.549999,31.010000,30.830425,21774300
2018-05-04,30.990000,32.049999,30.959999,31.959999,31.774921,20750000
2018-05-07,32.029999,32.410000,31.820000,32.389999,32.202431,18655600
2018-05-08,31.549999,32.020000,30.520000,30.590000,30.412857,52988700
2018-05-09,30.570000,30.969999,30.430000,30.730000,30.552046,22805200
2018-05-10,30.740000,31.639999,30.700001,31.559999,31.377239,24505700
2018-05-11,31.540001,31.950001,31.510000,31.900000,31.715271,14674200
2018-05-14,31.889999,32.250000,31.809999,32.139999,31.953880,19657800
2018-05-15,31.980000,32.029999,31.730000,32.009998,31.824633,23990300
2018-05-16,32.130001,32.680000,32.040001,32.549999,32.361507,19169800
2018-05-17,32.660000,32.840000,32.380001,32.410000,32.222317,23067300
2018-05-18,32.450001,32.759998,32.270000,32.720001,32.530525,18067100
2018-05-21,32.770000,32.889999,32.200001,32.340000,32.152721,18368400
2018-05-22,32.410000,32.709999,32.310001,32.509998,32.321735,13577000
2018-05-23,31.850000,32.240002,31.799999,31.879999,31.695385,27868200
2018-05-24,31.770000,32.049999,31.280001,31.629999,31.446833,24034700
2018-05-25,31.590000,32.009998,31.580000,31.750000,31.566139,13190300
2018-05-29,31.549999,31.889999,31.379999,31.510000,31.327530,19084300
2018-05-30,31.680000,31.700001,31.320000,31.480000,31.297703,17408700
2018-05-31,31.549999,31.570000,30.670000,31.180000,30.999441,35462000
2018-06-01,31.340000,31.450001,31.120001,31.260000,31.078978,18234100
2018-06-04,31.299999,31.510000,31.150000,31.290001,31.108805,19434400
2018-06-05,31.260000,31.320000,31.040001,31.080000,30.900019,22919900
2018-06-06,31.129999,32.490002,30.959999,32.270000,32.083130,33711500
2018-06-07,32.419998,32.660000,31.950001,32.000000,31.814692,26415000
2018-06-08,31.980000,32.189999,31.840000,32.080002,31.894230,21775000
2018-06-11,31.969999,32.439999,31.879999,32.000000,31.814692,25960600
2018-06-12,31.940001,32.619999,31.830000,32.380001,32.192493,32994300
2018-06-13,31.030001,32.650002,30.990000,32.320000,32.132839,45830100
2018-06-14,32.849998,34.060001,32.770000,33.820000,33.624153,42639500
2018-06-15,34.389999,34.400002,33.590000,33.880001,33.683807,53138700
2018-06-18,33.790001,33.790001,32.560001,32.580002,32.391335,29986200
2018-06-19,32.169998,33.080002,32.169998,32.810001,32.620003,29019100
2018-06-20,33.349998,33.720001,32.340000,33.389999,33.196640,50020200
2018-06-21,33.349998,33.650002,32.650002,32.790001,32.600117,35125600
2018-06-22,33.000000,34.150002,32.910000,33.810001,33.614212,105512100
2018-06-25,33.799999,34.110001,32.910000,33.119999,32.928204,33063300
2018-06-26,33.310001,33.310001,32.669998,32.779999,32.590172,31471300
2018-06-27,32.560001,32.900002,32.290001,32.290001,32.103012,28842400
2018-06-28,32.439999,32.700001,32.080002,32.630001,32.441044,25199400
2018-06-29,32.509998,33.599998,32.500000,32.810001,32.620003,37956600
2018-07-02,32.439999,33.220001,32.419998,33.169998,33.169998,17165000
2018-07-03,33.200001,33.610001,32.990002,33.090000,33.090000,12660800
2018-07-05,33.380001,33.400002,32.910000,33.119999,33.119999,11330300
2018-07-06,33.270000,33.610001,33.000000,33.580002,33.580002,11541300
2018-07-09,33.779999,33.799999,33.250000,33.560001,33.560001,13664900
2018-07-10,33.709999,33.720001,33.189999,33.340000,33.340000,12363300
2018-07-11,33.090000,34.180000,33.029999,33.770000,33.770000,33639100
2018-07-12,33.680000,34.570000,33.599998,34.549999,34.549999,22374100
2018-07-13,34.400002,35.150002,34.400002,34.700001,34.700001,25167300
2018-07-16,34.740002,35.270000,34.650002,34.970001,34.970001,22937600
2018-07-17,34.709999,34.919998,34.209999,34.270000,34.270000,21119900
2018-07-18,34.119999,34.450001,33.980000,34.040001,34.040001,16172600
2018-07-19,35.139999,35.290001,34.740002,34.910000,34.910000,41627300
2018-07-20,34.770000,34.950001,34.290001,34.299999,34.299999,24577000
2018-07-23,34.160000,34.299999,33.820000,34.169998,34.169998,22336100
2018-07-24,34.169998,34.290001,33.349998,33.389999,33.389999,21795000
2018-07-25,33.389999,33.520000,32.810001,33.419998,33.419998,22055800
2018-07-26,34.840000,35.099998,33.770000,34.750000,34.750000,40293000
2018-07-27,34.840000,35.610001,34.759998,35.080002,35.080002,22686900
2018-07-30,35.060001,35.700001,35.020000,35.459999,35.459999,21883100
2018-07-31,35.650002,36.090000,35.540001,35.779999,35.779999,21644300
2018-08-01,35.900002,35.900002,35.320000,35.400002,35.400002,20155600
2018-08-02,35.169998,35.200001,34.619999,34.639999,34.639999,19240300
2018-08-03,34.939999,35.430000,34.730000,35.410000,35.410000,16485800
2018-08-06,35.590000,35.759998,35.290001,35.320000,35.320000,12087200
2018-08-07,35.450001,35.520000,35.189999,35.400002,35.400002,10952200
2018-08-08,35.470001,35.490002,34.889999,35.049999,35.049999,12297700
2018-08-09,35.099998,35.810001,35.049999,35.490002,35.490002,17122800
2018-08-10,35.259998,35.340000,34.950001,35.080002,35.080002,11873700
2018-08-13,35.119999,35.189999,34.779999,35.040001,35.040001,15910600
2018-08-14,35.099998,35.490002,35.040001,35.389999,35.389999,10478900
2018-08-15,35.200001,35.270000,34.669998,34.970001,34.970001,15367600
2018-08-16,35.049999,35.849998,35.009998,35.660000,35.660000,16394500
2018-08-17,35.560001,35.849998,35.349998,35.599998,35.599998,12079500
2018-08-20,35.700001,35.730000,35.299999,35.430000,35.430000,9957900
2018-08-21,35.450001,36.009998,35.430000,35.740002,35.740002,11407000
2018-08-22,35.700001,35.740002,35.450001,35.480000,35.480000,7951800
2018-08-23,35.380001,35.480000,35.259998,35.310001,35.310001,11487500
2018-08-24,35.369999,36.790001,35.320000,36.500000,36.500000,24501900
2018-08-27,36.639999,36.700001,36.400002,36.430000,36.430000,11958300
2018-08-28,36.660000,36.700001,36.200001,36.349998,36.349998,10815200
2018-08-29,36.270000,36.900002,36.220001,36.750000,36.750000,13419100
2018-08-30,36.549999,36.700001,36.410000,36.680000,36.680000,10563600
2018-08-31,36.599998,37.070000,36.580002,36.990002,36.990002,20414900
2018-09-04,36.750000,36.849998,36.209999,36.380001,36.380001,19158800
2018-09-05,36.290001,36.480000,36.150002,36.279999,36.279999,16801100
2018-09-06,36.529999,36.529999,35.720001,35.919998,35.919998,18329000
2018-09-07,35.900002,36.369999,35.750000,36.169998,36.169998,18156300
